ACCIDENT_NUMBER,EVENT_DATE,YEAR,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
GAA19CA518,8/27/2019,2019,ASHLAND, OR,42.51,-123.388055,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA32RT,0,0,1
DCA19CA206,8/27/2019,2019,DENVER, CO,39.861667,-104.673056,INCIDENT,NONE,AIRPLANE,AIRBUS,A320,0,1,0
GAA19CA515,8/27/2019,2019,KENAI, AK,60.941666,-151.961111,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA18,0,0,1
WPR19FA244,8/27/2019,2019,MCKENZIE BRIDGE, OR,44.1825,-122.078334,FATAL(2),DESTROYED,AIRPLANE,CESSNA,172,2,0,0
CEN19LA290,8/27/2019,2019,MONROE, WI,42.663056,-89.529723,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,35,0,2,0
WPR19TA245,8/27/2019,2019,NORTH LAS VEGAS, NV,36.211667,-115.195555,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,47G,0,0,2
GAA19CA519,8/27/2019,2019,SAN DIEGO, CA,32.826111,-116.9725,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,206,0,0,2
DCA19CA208,8/26/2019,2019,CHICAGO, IL,41.974445,-87.906667,INCIDENT,NONE,AIRPLANE,MCDONNELL DOUGLAS,MD88,0,1,151
WPR19LA243,8/26/2019,2019,RENO, NV,39.656944,-119.8575,NON-FATAL,SUBSTANTIAL,AIRPLANE,MOONEY,M20C,0,3,0
CEN19LA300,8/25/2019,2019,BETHANY, OK,35.534166,-97.646944,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,425,0,0,1
GAA19CA511,8/25/2019,2019,COTTONWOOD, AZ,34.73,-112.035277,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,0,0,2
CEN19TA330,8/25/2019,2019,GLENWOOD SPRINGS, CO,39.506667,-107.309444,NON-FATAL,SUBSTANTIAL,AIRPLANE,CIRRUS,SR22,0,0,3
WPR19LA240,8/25/2019,2019,LANCASTER, CA,34.741111,-118.218611,NON-FATAL,SUBSTANTIAL,AIRPLANE,SCODA AERONAUTICAL,SUPER PETREL,0,0,2
CEN19TA293,8/25/2019,2019,RUSSIAVILLE, IN,40.405278,-86.242777,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3C,0,0,2
WPR19LA242,8/25/2019,2019,SANTA BARBARA, CA,34.423334,-119.836666,NON-FATAL,SUBSTANTIAL,AIRPLANE,LOCKHEED,C130,0,0,7
WPR19FA241,8/25/2019,2019,WILKESON, WA,47.129167,-122.055833,FATAL(1),SUBSTANTIAL,GLIDER,GLASER DIRKS,DG 300 ELAN,1,0,0
GAA19CA514,8/25/2019,2019,SHAMOKIN, PA,40.836944,-76.5525,NON-FATAL,SUBSTANTIAL,HELICOPTER,HUGHES,269A,0,0,2
GAA19CA510,8/24/2019,2019,WACO, TX,31.404167,-97.214444,NON-FATAL,SUBSTANTIAL,AIRPLANE,AMERICAN LEGEND AIRCRAFT CO,AL3C,0,0,2
WPR19LA239,8/24/2019,2019,WENDOVER, UT,40.718889,-114.030556,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA24,0,0,2
